gender_0,gender_1,race_0,race_1,race_2,race_3,race_4,eye_distance,mouth_width,face_width,face_height,face_aspect_ratio,eye_to_face_ratio,mouth_to_face_ratio
1,0,1,0,0,0,0,72.34671020507812,63.034366607666016,157.85829162597656,200.63348388671875,1.2709720966833475,0.4583016163414062,0.3993098237564692
0,1,1,0,0,0,0,84.51697540283203,73.24970245361328,170.77947998046875,196.70767211914065,1.1518226436901975,0.4948895231001865,0.4289139565361746
0,1,0,0,1,0,0,80.9675521850586,67.39966583251953,164.07383728027344,187.23190307617188,1.1411441713058703,0.4934824072332055,0.4107886238888067
1,0,0,0,0,1,0,82.89400482177734,72.79639434814453,171.99156188964844,207.56082153320312,1.206808166940052,0.4819655331403001,0.4232556152658899
0,1,1,0,0,0,0,75.60872650146484,62.86529541015625,173.00717163085938,209.1237030029297,1.2087574233577505,0.4370265451353028,0.3633681472135166
0,1,0,0,1,0,0,89.86690521240234,77.5646743774414,173.66436767578125,201.26300048828125,1.1589193752400877,0.5174746346364921,0.4466355154803489
1,0,0,1,0,0,0,76.68824005126953,63.64310836791992,156.80294799804688,200.657958984375,1.2796823117565008,0.4890739685087091,0.4058795397693202
0,1,0,0,1,0,0,74.9314956665039,64.19143676757812,163.10862731933594,195.3943634033203,1.197940088238098,0.4593962741149318,0.3935502236917449
0,1,0,0,0,0,1,77.60419464111328,63.47039413452149,168.10182189941406,199.48648071289065,1.186700289496303,0.4616499319534369,0.3775711257460364
1,0,0,1,0,0,0,82.52930450439453,70.51538848876953,170.08448791503906,191.25564575195312,1.1244743603396068,0.4852253460387271,0.4145903565526417
0,1,1,0,0,0,0,74.18724822998047,63.42649459838867,153.214111328125,197.947509765625,1.291966569200003,0.4842063670695465,0.4139729300948905
0,1,0,0,1,0,0,71.67830657958984,61.66385269165039,159.0009002685547,200.14161682128903,1.2587451799533658,0.4508044071355835,0.3878207770364778
0,1,0,1,0,0,0,77.59735870361328,69.06896209716797,168.0261688232422,189.93597412109375,1.130395196482162,0.4618171041276497,0.4110607447690256
0,1,1,0,0,0,0,78.69933319091797,64.20653533935547,161.241943359375,191.3866424560547,1.1869532112342096,0.4880822666315389,0.398199959648541
0,1,1,0,0,0,0,87.63668823242188,71.17916870117188,196.55809020996097,199.08221435546875,1.012841619201792,0.4458564292052768,0.3621279013503802
0,1,0,1,0,0,0,78.3415298461914,62.80534744262695,172.57989501953125,196.5264892578125,1.1387565697358384,0.453943547927905,0.363920417471103
1,0,1,0,0,0,0,82.9481430053711,64.92642211914062,188.53306579589844,183.53756713867188,0.973503328786715,0.4399660221680628,0.3443768436324505
1,0,0,1,0,0,0,78.24312591552734,67.93415832519531,164.69015502929688,190.90667724609375,1.1591869423653964,0.4750929155516831,0.412496778044264
0,1,1,0,0,0,0,83.98793029785156,76.0320816040039,169.21470642089844,207.25759887695312,1.224820249142106,0.4963394262490582,0.4493231304310188
1,0,0,0,0,1,0,85.89810943603516,73.04073333740234,187.13023376464844,200.04718017578125,1.0690265071082972,0.459028494262815,0.3903203232742435
0,1,0,0,1,0,0,76.23265838623047,57.19316482543945,173.2998046875,190.42677307128903,1.098828549834046,0.4398888880671028,0.3300244044046794
0,1,0,0,0,1,0,78.48353576660156,71.74028778076172,168.3944854736328,201.32846069335935,1.195576328566195,0.4660695125844278,0.4260251609723574
0,1,1,0,0,0,0,78.4474868774414,67.2981185913086,163.901123046875,195.34617614746097,1.1918537989004068,0.4786269027272362,0.4106019369498867
1,0,1,0,0,0,0,72.5333480834961,67.36700439453125,159.51907348632812,197.97735595703125,1.2410889283029798,0.4547001590359205,0.4223131624464021
1,0,1,0,0,0,0,76.79720306396484,66.86582946777344,153.91148376464844,182.82882690429688,1.1878829469532437,0.4989699350920312,0.4344434075498899
0,1,0,0,0,1,0,82.29186248779297,74.82421875,167.98374938964844,206.28314208984375,1.2279946294766737,0.4898799008046429,0.4454253403788524
1,0,1,0,0,0,0,77.65797424316406,64.52355194091797,166.26083374023438,203.67771911621097,1.2250493067684038,0.4670851967727814,0.3880863008405783
1,0,1,0,0,0,0,84.80133819580078,68.87519836425781,185.12750244140625,198.7749481201172,1.0737191692143655,0.4580699089949686,0.372041957331851
0,1,0,0,0,1,0,70.77611541748047,62.79270935058594,157.31727600097656,194.5552978515625,1.2367065003741533,0.4498941070975645,0.3991469401631143
0,1,0,1,0,0,0,77.32294464111328,68.39945983886719,164.97293090820312,189.51974487304688,1.1487929797313383,0.4687007996732418,0.4146101997601479
0,1,1,0,0,0,0,76.62891387939453,60.323883056640625,176.1663055419922,187.2305908203125,1.0628059108368084,0.4349805352597846,0.3424257713247067
0,1,0,1,0,0,0,70.31898498535156,57.367408752441406,155.26336669921875,188.33543395996097,1.2130062484398558,0.4529013281128689,0.369484508625756
1,0,0,0,0,1,0,84.11568450927734,65.3188705444336,190.55613708496097,195.04263305664065,1.0235442218776682,0.4414220701366007,0.3427801987574436
1,0,1,0,0,0,0,79.3741455078125,66.09823608398438,175.2293701171875,187.35447692871097,1.0691956308660735,0.4529728404246945,0.377209802442251
