age,gender_0,gender_1,race_0,race_1,race_2,race_3,race_4,eye_distance,mouth_width,face_width,face_height,face_aspect_ratio,eye_to_face_ratio,mouth_to_face_ratio
21,1,0,0,0,1,0,0,77.40894317626953,66.86251068115234,160.5243682861328,193.1954345703125,1.2035271444018014,0.4822254963700526,0.4165256116253371
39,1,0,0,0,0,0,1,81.0732421875,68.35238647460938,176.1894073486328,195.52633666992188,1.1097508051833465,0.4601482200747587,0.3879483307379419
36,1,0,0,0,0,0,1,73.98152923583984,64.83088684082031,160.9552459716797,191.28407287597656,1.18843018580229,0.4596403726341234,0.4027882809872963
26,1,0,0,0,0,1,0,79.21012878417969,64.32743835449219,176.2900848388672,198.3532257080078,1.1251524774595625,0.4493169814773156,0.3648953848612008
21,0,1,0,1,0,0,0,79.20275115966797,66.95966339111328,155.65098571777344,182.07052612304688,1.16973577316868,0.5088483750644438,0.4301910654939547
61,0,1,0,0,0,1,0,83.24432373046875,71.0831298828125,188.1509552001953,195.95521545410156,1.0414787171587965,0.4424337024592599,0.377798400264187
54,1,0,0,1,0,0,0,78.92668151855469,64.60877227783203,176.10585021972656,195.6754913330078,1.1111243101172634,0.448177510401149,0.3668746506559545
25,1,0,0,0,0,1,0,79.19496154785156,66.9553451538086,162.8437042236328,196.1143341064453,1.2043102006395163,0.4863249821380465,0.4111632406854305
35,1,0,0,0,0,1,0,81.35004425048828,61.956016540527344,183.04832458496097,187.4342041015625,1.023960227587693,0.4444184039102202,0.3384680885826451
39,0,1,1,0,0,0,0,86.97773742675781,74.80374908447266,164.200439453125,200.2888946533203,1.219782939195468,0.529704656798971,0.4555636351133347
37,1,0,1,0,0,0,0,77.10514068603516,71.76888275146484,167.00588989257812,199.04666137695312,1.1918541406233296,0.4616911459567736,0.4297386325573797
56,1,0,1,0,0,0,0,83.77412414550781,75.87660217285156,170.1132049560547,195.1249237060547,1.1470298484850796,0.4924610300955129,0.4460359334976538
49,0,1,1,0,0,0,0,82.10018920898438,73.45996856689453,171.12644958496094,200.5631866455078,1.1720174592059898,0.4797632943832171,0.4292730243925448
35,0,1,0,0,1,0,0,79.88102722167969,67.439697265625,168.39076232910156,198.97390747070312,1.1816200884097794,0.4743789155462153,0.4004952310496783
25,1,0,1,0,0,0,0,72.87728118896484,62.26335525512695,156.25180053710938,190.69827270507812,1.2204548814769518,0.4664092249718216,0.3984808817632765
